sample_id,task,comparable_needle_count,near_hit_rate,exact_hit_rate,min_distance,max_log10_ratio,max_ratio,last_q_abs_pos,last_q_log10_ratio,last_q_mean_ratio
rank7|global_req1423|task=niah_single_1|doc=423,niah_single_1,1,0.2767857142857143,0.20535714285714285,0,3.8720107078552246,7447.5033605609515,32480,-0.7103099226951599,0.11127753555774689
rank7|global_req1431|task=niah_single_1|doc=431,niah_single_1,1,0.7991071428571429,0.7053571428571429,0,3.8039438724517822,6367.132277559471,32477,-0.75274258852005,0.09712040424346924
rank7|global_req1439|task=niah_single_1|doc=439,niah_single_1,1,0.39285714285714285,0.26339285714285715,0,3.6246986389160156,4214.039857041983,32477,-0.7565752267837524,0.09400748461484909
rank7|global_req143|task=niah_single_3|doc=143,niah_single_3,1,0.28125,0.16964285714285715,0,3.790942668914795,6179.34821362218,32537,-0.6467676162719727,0.12673667073249817
rank7|global_req1447|task=niah_single_1|doc=447,niah_single_1,1,0.8928571428571429,0.8125,0,3.7290618419647217,5358.729584534105,32477,-0.7408482432365417,0.08916358649730682
rank7|global_req1455|task=niah_single_1|doc=455,niah_single_1,1,0.9107142857142857,0.8214285714285714,0,3.489058256149292,3083.60155602212,32474,-0.6184905171394348,0.10364130139350891
rank7|global_req1463|task=niah_single_1|doc=463,niah_single_1,1,0.9151785714285714,0.7723214285714286,0,3.8446428775787354,6992.667491417402,32486,-0.844176709651947,0.09779229760169983
rank7|global_req1471|task=niah_single_1|doc=471,niah_single_1,1,0.32142857142857145,0.16964285714285715,0,2.963099241256714,918.5424699643911,32480,-0.8301416635513306,0.0928766056895256
rank7|global_req1479|task=niah_single_1|doc=479,niah_single_1,1,0.8035714285714286,0.46875,0,4.523135185241699,33353.021639895356,32477,-0.7963475584983826,0.08666498959064484
rank7|global_req1487|task=niah_single_1|doc=487,niah_single_1,1,0.7142857142857143,0.6071428571428571,0,2.941753387451172,874.4870599016187,32480,-0.7056304812431335,0.09586572647094727
rank7|global_req1495|task=niah_single_1|doc=495,niah_single_1,1,0.7946428571428571,0.6339285714285714,0,3.0728938579559326,1182.7524544110888,32480,-0.7769832015037537,0.09535099565982819
rank7|global_req151|task=niah_single_3|doc=151,niah_single_3,1,0.7410714285714286,0.44642857142857145,0,3.7807986736297607,6036.687211302561,32533,-0.6684920191764832,0.12624581158161163
